Name,Year,Type,Mass (g),Fall,Latitude,Longitude
Forksville,1924-01-01T00:00:00.000,L6,,Fell,36.783330,-78.083330
Forsbach,1900-01-01T00:00:00.000,H6,,Fell,50.950000,7.316670
Forsyth,1829-01-01T00:00:00.000,L6,,Fell,33.016670,-83.966670
Fort Flatters,1944-01-01T00:00:00.000,Stone-uncl,,Fell,28.250000,7.000000
Frankfort (stone),1868-01-01T00:00:00.000,Howardite,,Fell,34.483330,-87.833330
Fuhe,1945-01-01T00:00:00.000,L5,,Fell,31.475560,113.566940
Fukutomi,1882-01-01T00:00:00.000,L5,,Fell,33.183330,130.200000
Fünen,1654-01-01T00:00:00.000,Stone-uncl,,Fell,55.333330,10.333330
Futtehpur,1822-01-01T00:00:00.000,L6,,Fell,25.950000,80.816670
Fuyang,1977-01-01T00:00:00.000,Stone-uncl,,Fell,32.900000,115.900000
Galapian,1826-01-01T00:00:00.000,H6,,Fell,44.300000,0.400000
Galim (a),1952-01-01T00:00:00.000,LL6,,Fell,7.050000,12.433330
Galim (b),1952-01-01T00:00:00.000,EH3/4-an,,Fell,7.050000,12.433330
Galkiv,1995-01-01T00:00:00.000,H4,,Fell,51.683330,30.783330
Gambat,1897-01-01T00:00:00.000,L6,,Fell,27.350000,68.533330
Gao-Guenie,1960-01-01T00:00:00.000,H5,,Fell,11.650000,-2.183330
Garhi Yasin,1917-01-01T00:00:00.000,"Iron, IIE",,Fell,27.883330,68.533330
Garland,1950-01-01T00:00:00.000,Diogenite-pm,,Fell,41.683330,-112.133330
Gashua,1984-01-01T00:00:00.000,L6,,Fell,12.850000,11.033330
Gasseltepaoua,2000-01-01T00:00:00.000,H5,,Fell,14.150830,-2.041670
Geidam,1950-01-01T00:00:00.000,H5,,Fell,12.916670,11.916670
Gifu,1909-01-01T00:00:00.000,L6,,Fell,35.533330,136.883330
Girgenti,1853-01-01T00:00:00.000,L6,,Fell,37.316670,13.566670
Git-Git,1947-01-01T00:00:00.000,L6,,Fell,9.600000,9.916670
Glanerbrug,1990-01-01T00:00:00.000,L/LL5,,Fell,52.200000,6.866670
Glanggang,1939-01-01T00:00:00.000,H5-6,,Fell,-7.250000,107.700000
Glasatovo,1918-01-01T00:00:00.000,H4,,Fell,57.350000,37.616670
Glatton,1991-01-01T00:00:00.000,L6,,Fell,52.459720,-0.300000
Gnadenfrei,1879-01-01T00:00:00.000,H5,,Fell,50.666670,16.766670
Gopalpur,1865-01-01T00:00:00.000,H6,,Fell,24.233330,89.050000
Gorlovka,1974-01-01T00:00:00.000,H3.7,,Fell,48.283330,38.083330
Granes,1964-01-01T00:00:00.000,L6,,Fell,42.900000,2.250000
